Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
41202#M169#Coxarthrosis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.51E-11	1.0934	allelic	16891	9781	6134	976	0.2394	0.420934225	0.057782251	283477	171140	97971	14366	0.2235	0.396282591	0.050677833	1.0656	1.1219
Union#M16#Coxarthrosis [arthrosis of hip]	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.57E-11	1.0763	allelic	27380	16013	9809	1558	0.236	0.415157049	0.056902849	137631	83200	47471	6960	0.223	0.395485029	0.050570002	1.0532	1.0999
Union#J841#Other interstitial pulmonary diseases with fibrosis	Chapter X Diseases of the respiratory system	European	5.58E-11	0.8193	allelic	3440	2256	1049	135	0.1917	0.344186047	0.039244186	156425	94148	54316	7961	0.2245	0.398126898	0.050893399	0.7711	0.8705
42033#Source of parkinson's disease report	Chapter VI Diseases of the nervous system	European	1.05E-10	0.8248	allelic	3523	2321	1042	160	0.1933	0.341186489	0.045415839	330163	198468	114733	16962	0.2251	0.398878736	0.051374624	0.7772	0.8752
Union#H40#Glaucoma	Chapter VII Diseases of the eye and adnexa	European	1.21E-10	1.0847	allelic	18752	10884	6813	1055	0.2379	0.419581911	0.056260666	271226	163850	93519	13857	0.2235	0.395891249	0.051090235	1.0584	1.1118
Union#M169#Coxarthrosis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.65E-10	1.0833	allelic	20632	12037	7414	1181	0.2369	0.416585886	0.057241179	136741	82730	47103	6908	0.2228	0.394987604	0.050518864	1.0572	1.1101
40001#G231#Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	Chapter VI Diseases of the nervous system	European	1.73E-10	0.2523	allelic	117	101	16	0	0.0684	0.136752137	0	327794	196911	114015	16868	0.2254	0.399284307	0.051459148	0.1518	0.4191
2257#Hearing difficulty/problems with background noise	Chapter VIII Diseases of the ear and mastoid process	European	3.03E-10	1.0351	allelic	169968	101280	59639	9049	0.2287	0.404123129	0.053239433	216854	131215	74712	10927	0.2227	0.394915473	0.050388741	1.0241	1.0463
131871#Source of report of M16 (Coxarthrosis [arthrosis of hip])	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.39E-10	1.0676	allelic	27380	16013	9809	1558	0.236	0.415157049	0.056902849	389553	234552	135136	19865	0.2244	0.39789451	0.050994345	1.046	1.0896
Union#Block G20-G26#G20-G26 Extrapyramidal and movement disorders	Chapter VI Diseases of the nervous system	European	4.51E-10	0.8782	allelic	7160	4594	2225	341	0.203	0.358379888	0.047625698	264739	159223	91991	13525	0.2248	0.398566135	0.051088053	0.8427	0.9152
131187#Source of report of H40 (Glaucoma)	Chapter VII Diseases of the eye and adnexa	European	1.86E-09	1.078	allelic	18730	10874	6803	1053	0.2378	0.419434063	0.056219968	410109	246974	142145	20990	0.2245	0.397784491	0.051181515	1.0521	1.1046
Union#G23#Other degenerative diseases of basal ganglia	Chapter VI Diseases of the nervous system	European	4.49E-09	0.5483	allelic	356	269	76	11	0.1376	0.244382022	0.030898876	254002	152479	88503	13020	0.2255	0.399693703	0.051259439	0.4429	0.6786
131029#Source of report of G23 (Other degenerative diseases of basal ganglia)	Chapter VI Diseases of the nervous system	European	4.52E-09	0.5486	allelic	356	269	76	11	0.1376	0.244382022	0.030898876	371091	222927	129063	19101	0.2254	0.399265948	0.05147255	0.4432	0.679
Union#M20#Acquired deformities of fingers and toes	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.79E-09	1.077	allelic	20741	12071	7548	1122	0.2361	0.418012632	0.054095752	100746	60921	34729	5096	0.2229	0.395301054	0.050582653	1.0504	1.1042
41202#Block M20-M25#M20-M25 Other joint disorders	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	8.92E-09	1.0502	allelic	45160	26537	16242	2381	0.2326	0.412378211	0.052723649	287964	173671	99621	14672	0.2239	0.396900307	0.050950813	1.0329	1.0678
40001#G23#Other degenerative diseases of basal ganglia	Chapter VI Diseases of the nervous system	European	1.40E-08	0.3508	allelic	135	110	25	0	0.0926	0.185185185	0	345536	207560	120243	17733	0.2253	0.399310057	0.051320268	0.2325	0.5295
Union#R065#Mouth breathing	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	1.57E-08	1.0491	allelic	159534	95062	55985	8487	0.2287	0.40412702	0.053198691	53718	32759	18247	2712	0.2203	0.390167169	0.050485871	1.0318	1.0666
Union#Block M15-M19#M15-M19 Arthrosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.59E-08	1.0402	allelic	92449	54864	32681	4904	0.2298	0.406548475	0.053045463	140880	85169	48618	7093	0.2229	0.395450028	0.050347814	1.0257	1.0548
Union#N20#Calculus of kidney and ureter	Chapter XIV Diseases of the genitourinary system	European	4.10E-08	1.091	allelic	11779	6808	4293	678	0.2398	0.422022243	0.057560065	184397	111133	63816	9448	0.2243	0.397316659	0.051237276	1.0578	1.1252
Union#Block M20-M25#M20-M25 Other joint disorders	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.85E-08	1.0453	allelic	62030	36677	22124	3229	0.2304	0.408721586	0.052055457	141976	85939	48860	7177	0.2226	0.394693469	0.050550797	1.0288	1.0621
132037#Source of report of N20 (Calculus of kidney and ureter)	Chapter XIV Diseases of the genitourinary system	European	5.74E-08	1.0891	allelic	11720	6770	4275	675	0.24	0.422354949	0.057593857	300276	180743	104085	15448	0.2248	0.398077102	0.051446003	1.0563	1.1229
Union#E03#Other hypothyroidism	Chapter IV Endocrine nutritional and metabolic diseases	European	7.13E-08	1.0533	allelic	36869	21687	13177	2005	0.2331	0.411782256	0.05438173	174347	105183	60247	8917	0.2239	0.396703127	0.05114513	1.0337	1.0734
Union#E039#Hypothyroidism unspecified	Chapter IV Endocrine nutritional and metabolic diseases	European	8.08E-08	1.0595	allelic	28219	16561	10100	1558	0.2342	0.413125908	0.055211028	176504	106523	60899	9082	0.224	0.396483932	0.051454925	1.0374	1.082
40001#Block G20-G26#G20-G26 Extrapyramidal and movement disorders	Chapter VI Diseases of the nervous system	European	8.74E-08	0.6849	allelic	678	474	183	21	0.1659	0.300884956	0.030973451	310282	186455	107982	15845	0.2251	0.399078902	0.051066449	0.5936	0.7904
131879#Source of report of M20 (Acquired deformities of fingers and toes)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.68E-07	1.065	allelic	20741	12071	7548	1122	0.2361	0.418012632	0.054095752	284484	171068	98881	14535	0.2249	0.398672685	0.051092504	1.0403	1.0904
Union#H918#Other specified hearing loss	Chapter VIII Diseases of the ear and mastoid process	European	2.54E-07	1.0307	allelic	170016	101315	59649	9052	0.2287	0.404085498	0.053242048	161825	97661	56035	8129	0.2234	0.396502395	0.050233277	1.0189	1.0427
41202#M20#Acquired deformities of fingers and toes	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.44E-07	1.0794	allelic	13280	7698	4855	727	0.2375	0.420331325	0.054743976	203536	122709	70479	10348	0.224	0.397114024	0.050841129	1.0483	1.1114
41202#Chapter XIII#Chapter XIII Diseases of the musculoskeletal system and connective tissue	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.50E-07	1.0283	allelic	138175	82222	48705	7248	0.2287	0.404943007	0.05245522	302515	182481	104658	15376	0.2238	0.396786936	0.050827232	1.0174	1.0394
131405#Source of report of I84 (Haemorrhoids)	Chapter IX Diseases of the circulatory system	European	3.88E-07	1.0533	allelic	28811	16944	10269	1598	0.2337	0.411891292	0.055464927	402893	242573	139738	20582	0.2245	0.397922029	0.051085524	1.0325	1.0746
130697#Source of report of E03 (Other hypothyroidism)	Chapter IV Endocrine nutritional and metabolic diseases	European	5.34E-07	1.0479	allelic	36836	21669	13162	2005	0.2331	0.411743946	0.054430448	272148	163721	94478	13949	0.2248	0.398411894	0.051255199	1.0289	1.0671
Union#H919#Hearing loss unspecified	Chapter VIII Diseases of the ear and mastoid process	European	5.70E-07	1.0332	allelic	117415	69987	41199	6229	0.2285	0.403934761	0.053051143	155784	94175	53807	7802	0.2228	0.395477071	0.050082165	1.0201	1.0466
41202#J84#Other interstitial pulmonary diseases	Chapter X Diseases of the respiratory system	European	8.75E-07	0.7777	allelic	1229	813	379	37	0.1843	0.338486574	0.030105777	308547	185553	107064	15930	0.2251	0.398623224	0.051629087	0.7022	0.8613
41202#Block G20-G26#G20-G26 Extrapyramidal and movement disorders	Chapter VI Diseases of the nervous system	European	9.69E-07	0.7969	allelic	1483	984	441	58	0.1878	0.336480108	0.039109912	343524	206605	119328	17591	0.2249	0.398571861	0.051207485	0.7266	0.874
41202#K601#Chronic anal fissure	Chapter XI Diseases of the digestive system	European	1.17E-06	1.3903	allelic	556	280	232	44	0.2878	0.496402878	0.079136691	202156	121598	70076	10482	0.2252	0.398494232	0.051851046	1.2208	1.5834
131437#Source of report of J06 (Acute upper respiratory infections of multiple and unspecified sites)	Chapter X Diseases of the respiratory system	European	1.49E-06	1.0406	allelic	46911	27763	16583	2565	0.2314	0.408177187	0.054678007	358568	215920	124349	18299	0.2244	0.397826911	0.051033556	1.0239	1.0575
131351#Source of report of I48 (Atrial fibrillation and flutter)	Chapter IX Diseases of the circulatory system	European	1.57E-06	1.0443	allelic	39445	23258	14077	2110	0.2319	0.410368868	0.053492204	293592	176824	101830	14938	0.2243	0.397722009	0.050880133	1.026	1.0629
41202#I84#Haemorrhoids	Chapter IX Diseases of the circulatory system	European	1.62E-06	1.0648	allelic	17344	10153	6221	970	0.2353	0.41461024	0.055927122	301524	181808	104257	15459	0.2242	0.397036388	0.051269551	1.038	1.0924
Union#Block H40-H42#H40-H42 Glaucoma	Chapter VII Diseases of the eye and adnexa	European	1.80E-06	1.0729	allelic	13602	7935	4917	750	0.2359	0.416629907	0.05513895	276037	166735	95248	14054	0.2234	0.395968656	0.050913464	1.0425	1.1041
41202#G231#Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	Chapter VI Diseases of the nervous system	European	1.91E-06	0.2525	allelic	66	57	9	0	0.0682	0.136363636	0	301397	181460	104442	15495	0.2247	0.39793694	0.051410598	0.1283	0.4968
Union#J06#Acute upper respiratory infections of multiple and unspecified sites	Chapter X Diseases of the respiratory system	European	2.07E-06	1.0421	allelic	46911	27763	16583	2565	0.2314	0.408177187	0.054678007	190972	115022	66275	9675	0.2242	0.397702281	0.050661877	1.0245	1.0599
41202#Block J80-J84#J80-J84 Other respiratory diseases principally affecting the interstitium	Chapter X Diseases of the respiratory system	European	2.22E-06	0.8077	allelic	1545	1013	477	55	0.19	0.34433657	0.035598706	315711	189951	109443	16317	0.225	0.398338987	0.051683343	0.7382	0.8839
41202#G23#Other degenerative diseases of basal ganglia	Chapter VI Diseases of the nervous system	European	2.51E-06	0.347	allelic	93	76	17	0	0.0914	0.182795699	0	312946	188371	108480	16095	0.2248	0.398071872	0.051430598	0.2107	0.5713
Union#N209#Urinary calculus unspecified	Chapter XIV Diseases of the genitourinary system	European	3.18E-06	1.1367	allelic	3702	2092	1391	219	0.247	0.434900054	0.059157212	178249	107509	61636	9104	0.224	0.396860571	0.05107462	1.0776	1.1991
Union#Block N20-N23#N20-N23 Urolithiasis	Chapter XIV Diseases of the genitourinary system	European	3.77E-06	1.079	allelic	10990	6390	3969	631	0.238	0.418562329	0.057415833	180379	108678	62418	9283	0.2245	0.397501926	0.051463862	1.045	1.1141
40011#8500#Duct adenocarcinoma	Chapter II Neoplasms	European	4.61E-06	0.9369	allelic	15458	9568	5141	749	0.2147	0.381032475	0.048453875	235585	141229	82255	12101	0.2259	0.40051786	0.051365749	0.911	0.9635
Union#K601#Chronic anal fissure	Chapter XI Diseases of the digestive system	European	5.31E-06	1.3158	allelic	720	374	292	54	0.2778	0.480555556	0.075	132438	79414	46137	6887	0.2262	0.400368474	0.052001691	1.1721	1.4772
Union#Block E00-E07#E00-E07 Disorders of thyroid gland	Chapter IV Endocrine nutritional and metabolic diseases	European	5.32E-06	1.0466	allelic	33672	19872	11971	1829	0.2321	0.409836066	0.054318128	177700	107149	61471	9080	0.2241	0.397023073	0.051097355	1.0263	1.0673
40001#J84#Other interstitial pulmonary diseases	Chapter X Diseases of the respiratory system	European	5.52E-06	0.7323	allelic	704	476	209	19	0.1754	0.323863636	0.026988636	286705	172407	99507	14791	0.2251	0.398660644	0.051589613	0.6382	0.8402
Union#N200#Calculus of kidney	Chapter XIV Diseases of the genitourinary system	European	6.65E-06	1.1033	allelic	6013	3461	2196	356	0.2418	0.42441377	0.059205056	190598	114909	65898	9791	0.2242	0.397113296	0.051369899	1.0575	1.1512
Union#R522#Other chronic pain	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	7.12E-06	1.0333	allelic	198781	118979	69581	10221	0.2264	0.40145688	0.051418395	74620	45445	25405	3770	0.2208	0.39098097	0.050522648	1.0186	1.0482
Union#Chapter XIII#Chapter XIII Diseases of the musculoskeletal system and connective tissue	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.35E-05	1.0259	allelic	191591	114346	67278	9967	0.2276	0.403176558	0.052022277	145918	88195	50329	7394	0.2231	0.395585192	0.050672295	1.0142	1.0378
Union#N132#Hydronephrosis with renal and ureteral calculous obstruction	Chapter XIV Diseases of the genitourinary system	European	1.37E-05	1.184	allelic	1808	1003	689	116	0.2547	0.445243363	0.064159292	180252	108736	62282	9234	0.224	0.396755653	0.05122828	1.0982	1.2764
Union#I84#Haemorrhoids	Chapter IX Diseases of the circulatory system	European	1.40E-05	1.0478	allelic	28811	16944	10269	1598	0.2337	0.411891292	0.055464927	158248	95038	55077	8133	0.2254	0.399436328	0.051394014	1.026	1.0701
Union#D05#Carcinoma in situ of breast	Chapter II Neoplasms	European	1.50E-05	0.9185	allelic	8080	5006	2715	359	0.2124	0.380445545	0.044430693	143598	85873	50256	7469	0.227	0.401990278	0.052013259	0.8837	0.9548
40001#Block J80-J84#J80-J84 Other respiratory diseases principally affecting the interstitium	Chapter X Diseases of the respiratory system	European	1.53E-05	0.7461	allelic	712	478	214	20	0.1784	0.328651685	0.028089888	287081	172512	99733	14836	0.2254	0.399082489	0.051678794	0.6514	0.8547
Union#Block C50-C50#C50-C50 Malignant neoplasm of breast	Chapter II Neoplasms	European	1.56E-05	0.9471	allelic	21103	12940	7146	1017	0.2175	0.38681704	0.0481922	144117	86195	50447	7475	0.2269	0.40190956	0.05186758	0.924	0.9708
40001#J841#Other interstitial pulmonary diseases with fibrosis	Chapter X Diseases of the respiratory system	European	1.71E-05	0.7118	allelic	533	364	155	14	0.1717	0.317073171	0.026266417	270240	162307	93980	13953	0.2255	0.399396832	0.051631883	0.6069	0.8347
Union#C509#Malignant neoplasm: Breast unspecified	Chapter II Neoplasms	European	1.77E-05	0.9392	allelic	15122	9307	5092	723	0.2162	0.384539082	0.047811136	144153	86219	50427	7507	0.227	0.401892434	0.052076613	0.9126	0.9666
Union#M77#Other enthesopathies	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.79E-05	1.0464	allelic	30515	18065	10782	1668	0.2313	0.407996068	0.054661642	151247	91368	52192	7687	0.2234	0.395902067	0.050824149	1.025	1.0682
20002#1197#kidney stone|ureter stone|bladder stone	Chapter XIV Diseases of the genitourinary system	European	1.85E-05	1.127	allelic	3564	2017	1338	209	0.2464	0.434062851	0.058641975	277755	167177	96260	14318	0.2248	0.398113445	0.051549027	1.0675	1.1898
131585#Source of report of K21 (Gastro-oesophageal reflux disease)	Chapter XI Diseases of the digestive system	European	1.90E-05	0.9712	allelic	74383	45146	25622	3615	0.2208	0.393060242	0.048599814	377156	226330	131259	19567	0.2259	0.399903488	0.051880389	0.9583	0.9843
20001#1002#breast cancer	Chapter II Neoplasms	European	2.06E-05	0.9287	allelic	10207	6313	3429	465	0.2135	0.38150289	0.045556971	214834	128737	74995	11102	0.2262	0.400760587	0.051677109	0.8974	0.961
131643#Source of report of K60 (Fissure and fistula of anal and rectal regions)	Chapter XI Diseases of the digestive system	European	2.18E-05	1.094	allelic	6307	3631	2312	364	0.241	0.424290471	0.057713651	371725	223645	128920	19160	0.225	0.398359002	0.05154348	1.0499	1.14
131621#Source of report of K44 (Diaphragmatic hernia)	Chapter XI Diseases of the digestive system	European	2.25E-05	0.968	allelic	56366	34294	19321	2751	0.2202	0.391583579	0.048806018	384286	230557	133889	19840	0.2258	0.400037993	0.051628214	0.9535	0.9827
Union#M201#Hallux valgus (acquired)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.35E-05	1.0785	allelic	9737	5656	3561	520	0.2363	0.419122933	0.053404539	91804	55503	31677	4624	0.2229	0.3954185	0.050368176	1.0416	1.1168
20002#1442#helicobacter pylori	Chapter I Certain infectious and parasitic diseases	European	2.83E-05	0.8138	allelic	1300	859	384	57	0.1915	0.339230769	0.043846154	418959	251620	145749	21590	0.2255	0.399416172	0.051532489	0.738	0.8975
2247#Hearing difficulty/problems	Chapter VIII Diseases of the ear and mastoid process	European	3.02E-05	1.0255	allelic	114346	68192	40107	6047	0.2283	0.403634583	0.052883354	249104	150185	86313	12606	0.2239	0.397099204	0.05060537	1.0135	1.0377
Union#H11#Other disorders of conjunctiva	Chapter VII Diseases of the eye and adnexa	European	3.02E-05	1.082	allelic	8093	4709	2923	461	0.2376	0.418139133	0.056962807	270097	163078	93268	13751	0.2236	0.396224319	0.050911339	1.043	1.1225
131683#Source of report of K85 (Acute pancreatitis)	Chapter XI Diseases of the digestive system	European	3.23E-05	1.1077	allelic	4624	2665	1669	290	0.2432	0.42365917	0.062716263	423754	254920	147104	21730	0.2249	0.398424558	0.051279752	1.0561	1.162
Union#H401#Primary open-angle glaucoma	Chapter VII Diseases of the eye and adnexa	European	3.87E-05	1.1213	allelic	3627	2072	1341	214	0.2439	0.428728977	0.05900193	259336	156705	89404	13227	0.2234	0.395745288	0.051003332	1.0624	1.1835
41202#I48#Atrial fibrillation and flutter	Chapter IX Diseases of the circulatory system	European	4.22E-05	1.0576	allelic	16054	9402	5775	877	0.2345	0.414351563	0.05462813	233781	140865	80826	12090	0.2246	0.397448894	0.051715067	1.0297	1.0863
Union#M202#Hallux rigidus	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.54E-05	1.1525	allelic	2316	1306	866	144	0.2491	0.436096718	0.062176166	111012	67034	38324	5654	0.2235	0.396155371	0.050931431	1.0774	1.2327
Union#Block D10-D36#D10-D36 Benign neoplasms	Chapter II Neoplasms	European	4.93E-05	0.9736	allelic	92613	56087	31922	4604	0.2221	0.394393876	0.049712243	233086	139563	81361	12162	0.2267	0.40123817	0.052178166	0.9611	0.9863
Union#K22#Other diseases of oesophagus	Chapter XI Diseases of the digestive system	European	4.94E-05	0.964	allelic	46824	28484	16054	2286	0.2203	0.391679481	0.048821117	147776	88495	51589	7692	0.2266	0.40115445	0.052051754	0.9471	0.9813
20002#1277#glaucoma	Chapter VII Diseases of the eye and adnexa	European	5.12E-05	1.1043	allelic	4671	2671	1732	268	0.2428	0.428173839	0.057375294	379784	228416	131830	19538	0.225	0.398563394	0.051445032	1.053	1.1581
41202#M201#Hallux valgus (acquired)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	5.27E-05	1.0765	allelic	8825	5118	3235	472	0.2368	0.420056657	0.053484419	189412	114304	65468	9640	0.2237	0.396532427	0.050894347	1.0389	1.1154
Union#C50#Malignant neoplasm of breast	Chapter II Neoplasms	European	5.37E-05	0.9494	allelic	20070	12296	6799	975	0.218	0.387344295	0.04857997	144095	86186	50417	7492	0.2269	0.401880704	0.051993477	0.9258	0.9737
Union#K44#Diaphragmatic hernia	Chapter XI Diseases of the digestive system	European	5.42E-05	0.9671	allelic	56442	34337	19353	2752	0.2202	0.391640977	0.048758017	164943	98964	57402	8577	0.226	0.400010913	0.051999782	0.9514	0.9829
41202#G20#Parkinson disease	Chapter VI Diseases of the nervous system	European	5.53E-05	0.7857	allelic	893	594	266	33	0.1859	0.334826428	0.036954087	299973	180361	104128	15484	0.2252	0.398742553	0.051617979	0.6973	0.8853
41202#J841#Other interstitial pulmonary diseases with fibrosis	Chapter X Diseases of the respiratory system	European	5.53E-05	0.7869	allelic	907	600	277	30	0.1858	0.338478501	0.033076075	292440	175897	101615	14928	0.2248	0.398519354	0.051046368	0.699	0.8859
Union#K85#Acute pancreatitis	Chapter XI Diseases of the digestive system	European	6.63E-05	1.1036	allelic	4648	2677	1677	294	0.2437	0.424053356	0.063253012	148129	88885	51551	7693	0.2259	0.399948693	0.051934463	1.0518	1.1581
Union#M81#Osteoporosis without pathological fracture	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.89E-05	1.0489	allelic	24814	14723	8744	1347	0.2305	0.406665592	0.054283872	97656	59156	33619	4881	0.2221	0.394241009	0.049981568	1.0246	1.0738
41202#N200#Calculus of kidney	Chapter XIV Diseases of the genitourinary system	European	7.20E-05	1.1113	allelic	3974	2283	1450	241	0.2431	0.425515853	0.060644187	256498	154615	88754	13129	0.2242	0.397207775	0.051185584	1.0553	1.1702
Union#Block E65-E68#E65-E68 Obesity and other hyperalimentation	Chapter IV Endocrine nutritional and metabolic diseases	European	7.40E-05	1.0384	allelic	36304	21471	12915	1918	0.2307	0.408577567	0.052831644	239307	144393	82574	12340	0.2241	0.396620241	0.051565562	1.0193	1.0578
Union#I48#Atrial fibrillation and flutter	Chapter IX Diseases of the circulatory system	European	7.47E-05	1.0394	allelic	39447	23260	14077	2110	0.2319	0.410348062	0.053489492	122080	73397	42402	6281	0.2251	0.398779489	0.051449869	1.0197	1.0594
Union#M161#Other primary coxarthrosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	8.53E-05	1.0971	allelic	5217	3006	1928	283	0.239	0.423806786	0.054245735	137389	83184	47249	6956	0.2226	0.394536681	0.050629963	1.0479	1.1486
Union#Block D00-D09#D00-D09 In situ neoplasms	Chapter II Neoplasms	European	8.59E-05	0.9526	allelic	20948	12812	7122	1014	0.2184	0.3883903	0.048405576	201700	120698	70510	10492	0.2268	0.40159643	0.052017848	0.9297	0.976
41202#N132#Hydronephrosis with renal and ureteral calculous obstruction	Chapter XIV Diseases of the genitourinary system	European	9.41E-05	1.1744	allelic	1605	892	612	101	0.2536	0.44423676	0.062928349	243179	146507	84216	12456	0.2244	0.397534327	0.051221528	1.0843	1.2719
40002#J18#Pneumonia organism unspecified	Chapter X Diseases of the respiratory system	European	9.69E-05	0.9037	allelic	4508	2837	1464	207	0.2083	0.370674357	0.045918367	312358	187603	108642	16113	0.2255	0.399397486	0.05158504	0.8586	0.9511
Union#I730#Raynaud syndrome	Chapter IX Diseases of the circulatory system	European	9.86E-05	0.8917	allelic	3544	2228	1170	146	0.2063	0.371331828	0.041196388	167591	100571	58400	8620	0.2257	0.399902143	0.051434743	0.8413	0.945
40002#J189#Pneumonia unspecified	Chapter X Diseases of the respiratory system	European	1.04E-04	0.8845	allelic	3057	1935	995	127	0.2043	0.367026497	0.041543997	314104	188859	109163	16082	0.225	0.398737361	0.051199603	0.8309	0.9415
40001#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	1.06E-04	0.8927	allelic	3536	2218	1172	146	0.207	0.372737557	0.041289593	289710	173671	100977	15062	0.2263	0.400535018	0.051989921	0.8425	0.9459
Union#K21#Gastro-oesophageal reflux disease	Chapter XI Diseases of the digestive system	European	1.11E-04	0.9714	allelic	74778	45376	25768	3634	0.2209	0.393190511	0.048597181	161552	96944	56215	8393	0.2259	0.399920769	0.051952313	0.9571	0.9858
40002#Block J09-J18#J09-J18 Influenza and pneumonia	Chapter X Diseases of the respiratory system	European	1.13E-04	0.9055	allelic	4592	2888	1490	214	0.2088	0.371080139	0.046602787	312338	187525	108630	16183	0.2257	0.399608757	0.05181246	0.8608	0.9526
Union#Chapter VII#Chapter VII Diseases of the eye and adnexa	Chapter VII Diseases of the eye and adnexa	European	1.13E-04	1.0251	allelic	93407	55676	32884	4847	0.2279	0.403941889	0.051891186	265387	160255	91595	13537	0.2236	0.396146006	0.051008527	1.0123	1.0381
Union#M18#Arthrosis of first carpometacarpal joint	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.14E-04	1.1296	allelic	2840	1615	1063	162	0.2442	0.431338028	0.057042254	109557	66332	37719	5506	0.2224	0.39454348	0.050256944	1.0624	1.2011
Union#H579#Disorder of eye and adnexa unspecified	Chapter VII Diseases of the eye and adnexa	European	1.15E-04	1.0287	allelic	66037	39346	23210	3481	0.2284	0.404182504	0.052712873	273726	165321	94453	13952	0.2235	0.396034721	0.050970679	1.014	1.0435
