Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
40006#C713#Malignant neoplasm: Parietal lobe	Chapter II Neoplasms	European	0.007	1.7768	allelic	120	93	26	1	0.1167	0.225	0.008333333	278544	241310	35922	1312	0.0692	0.133673675	0.004710207	1.1979	2.6354
41202#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	0.0089	1.1002	allelic	5596	4789	770	37	0.0754	0.14421015	0.006611866	274220	237666	35256	1298	0.069	0.133301729	0.004733426	1.0249	1.1811
41202#C341#Malignant neoplasm: Upper lobe bronchus or lung	Chapter II Neoplasms	European	0.0023	1.1888	allelic	2185	1843	330	12	0.081	0.156521739	0.005491991	298424	258640	38367	1417	0.069	0.133313675	0.004748278	1.0659	1.3258
41202#C672#Malignant neoplasm: Lateral wall of bladder	Chapter II Neoplasms	European	0.0027	0.6724	allelic	592	539	50	3	0.0473	0.089527027	0.005067568	197799	171550	25297	952	0.0688	0.132705423	0.004812967	0.514	0.8796
41202#D001#Carcinoma in situ: Oesophagus	Chapter II Neoplasms	European	0.0032	2.9113	allelic	31	22	7	2	0.1774	0.290322581	0.064516129	205733	178346	26393	994	0.069	0.13311914	0.004831505	1.5173	5.5862
41202#D129#Benign neoplasm: Anus and anal canal	Chapter II Neoplasms	European	0.0087	1.6574	allelic	151	120	29	2	0.1093	0.205298013	0.013245033	317523	275262	40757	1504	0.0689	0.13309587	0.004736665	1.1544	2.3795
41202#D329#Benign neoplasm: Meninges unspecified	Chapter II Neoplasms	European	0.01	1.6006	allelic	170	137	30	3	0.1059	0.194117647	0.017647059	248554	215473	31917	1164	0.0689	0.133093815	0.004683087	1.1329	2.2615
Union#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	0.0011	1.1095	allelic	7449	6371	1030	48	0.0756	0.144717412	0.006443818	238534	206930	30466	1138	0.0686	0.132492643	0.004770808	1.0431	1.1802
Union#C210#Malignant neoplasm: Anus unspecified	Chapter II Neoplasms	European	0.0083	1.4751	allelic	289	235	51	3	0.0986	0.186851211	0.010380623	215516	186769	27732	1015	0.069	0.133386848	0.004709627	1.1219	1.9394
Union#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	0.0019	1.1112	allelic	6496	5550	904	42	0.076	0.145628079	0.006465517	252296	218687	32420	1189	0.069	0.133212576	0.004712718	1.0404	1.1867
Union#C341#Malignant neoplasm: Upper lobe bronchus or lung	Chapter II Neoplasms	European	0.005	1.1452	allelic	3136	2662	459	15	0.078	0.151147959	0.004783163	261505	226779	33489	1237	0.0688	0.132792872	0.004730311	1.0436	1.2567
Union#C349#Malignant neoplasm: Bronchus or lung unspecified	Chapter II Neoplasms	European	0.0011	1.1315	allelic	5111	4359	715	37	0.0772	0.147133633	0.007239288	244465	211985	31306	1174	0.0688	0.132861555	0.004802323	1.0514	1.2178
Union#C672#Malignant neoplasm: Lateral wall of bladder	Chapter II Neoplasms	European	0.0082	0.7299	allelic	704	636	64	4	0.0511	0.096590909	0.005681818	176962	153501	22588	873	0.0688	0.132576485	0.004933263	0.5756	0.9256
Union#C774#Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes	Chapter II Neoplasms	European	0.0069	0.6836	allelic	520	472	46	2	0.0481	0.092307692	0.003846154	273389	237070	35023	1296	0.0688	0.132847335	0.004740498	0.5145	0.9084
Union#D121#Benign neoplasm: Appendix	Chapter II Neoplasms	European	0.01	1.7321	allelic	119	95	21	3	0.1134	0.201680672	0.025210084	273389	237070	35023	1296	0.0688	0.132847335	0.004740498	1.1602	2.5859
Union#D181#Lymphangioma any site	Chapter II Neoplasms	European	0.0074	1.7191	allelic	133	104	28	1	0.1128	0.218045113	0.007518797	219212	190058	28121	1033	0.0689	0.132994544	0.004712333	1.1755	2.514
Union#D39#Neoplasm of uncertain or unknown behaviour of female genital organs	Chapter II Neoplasms	European	0.0063	0.7078	allelic	635	573	61	1	0.0496	0.097637795	0.001574803	149049	129270	19085	694	0.0687	0.132701326	0.004656187	0.5492	0.9122
130707#Source of report of E10 (Type 1 diabetes mellitus)	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0013	1.1367	allelic	4617	3921	675	21	0.0776	0.150747238	0.004548408	356008	308629	45663	1716	0.069	0.133084088	0.004820116	1.0527	1.2274
130709#Source of report of E11 (Type 2 diabetes mellitus)	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0058	1.0416	allelic	39380	33940	5243	197	0.0716	0.138141188	0.005002539	308836	267787	39533	1516	0.0689	0.132915204	0.004908754	1.012	1.072
130715#Source of report of E14 (Unspecified diabetes mellitus)	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0001982	1.0738	allelic	21917	18807	2996	114	0.0736	0.141898983	0.005201442	308770	267748	39529	1493	0.0688	0.132856171	0.004835314	1.0346	1.1144
40002#Block E10-E14#E10-E14 Diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0062	1.1422	allelic	3053	2593	443	17	0.0781	0.150671471	0.005568293	293989	254809	37752	1428	0.0691	0.133270292	0.004857325	1.0397	1.2548
41202#Block E10-E14#E10-E14 Diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0005315	1.1839	allelic	2978	2509	457	12	0.0808	0.157488247	0.00402955	314991	273024	40415	1552	0.0691	0.133232378	0.004927125	1.078	1.3002
41202#E10#Type 1 diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0085	1.2496	allelic	949	793	151	5	0.0848	0.164383562	0.005268704	361038	312918	46377	1743	0.0691	0.133282369	0.004827747	1.063	1.4689
41202#E111#Type 2 diabetes mellitus With ketoacidosis	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0018	1.5958	allelic	259	206	51	2	0.1062	0.204633205	0.007722008	330956	286740	42574	1642	0.0693	0.133600841	0.004961385	1.2065	2.1109
41202#E14#Unspecified diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0048	1.4368	allelic	373	304	66	3	0.0965	0.184986595	0.008042895	318056	275602	40886	1568	0.0692	0.133479639	0.004929949	1.1266	1.8324
41202#E143#Unspecified diabetes mellitus With ophthalmic complications	Chapter IV Endocrine nutritional and metabolic diseases	European	0.000776	1.7425	allelic	200	155	44	1	0.115	0.225	0.005	297655	257809	38379	1467	0.0694	0.133866389	0.004928525	1.2814	2.3695
Union#Block E10-E14#E10-E14 Diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0069	1.0424	allelic	39066	33636	5239	191	0.0719	0.138995546	0.004889162	187283	162265	24108	910	0.0692	0.133583934	0.004858957	1.0116	1.074
Union#E10#Type 1 diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0016	1.1343	allelic	4618	3922	675	21	0.0776	0.150714595	0.004547423	192632	166955	24742	935	0.0691	0.13329561	0.004853815	1.05	1.2254
Union#E109#Type 1 diabetes mellitus Without complications	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0028	1.1347	allelic	4102	3482	601	19	0.0779	0.151145783	0.004631887	194718	168680	25094	944	0.0693	0.133721587	0.004848037	1.0457	1.2313
Union#E14#Unspecified diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0097	1.0452	allelic	30050	25841	4065	144	0.0724	0.140066556	0.004792013	184685	159914	23866	905	0.0695	0.134125673	0.004900236	1.0109	1.0807
Union#E149#Unspecified diabetes mellitus Without complications	Chapter IV Endocrine nutritional and metabolic diseases	European	0.0021	1.1191	allelic	5588	4751	815	22	0.0769	0.149785254	0.003937008	180417	156318	23211	888	0.0692	0.133573887	0.004921931	1.0426	1.2012
20002#1286#depression	Chapter V Mental and behavioural disorders	European	0.0039	0.9491	allelic	26415	23022	3287	106	0.0662	0.128449744	0.004012871	342701	296726	44290	1685	0.0695	0.134154846	0.004916823	0.916	0.9834
41202#F002#Dementia in Alzheimer disease atypical or mixed type	Chapter V Mental and behavioural disorders	European	0.0097	0	allelic	37	37	0	0	0	0	0	449646	389592	57886	2168	0.0692	0.133558399	0.004821571		
Union#F011#Multi-infarct dementia	Chapter V Mental and behavioural disorders	European	0.0085	2.24	allelic	49	37	10	2	0.1429	0.244897959	0.040816327	198682	172110	25626	946	0.0693	0.133741356	0.004761377	1.2719	3.9449
40001#G301#Alzheimer disease with late onset	Chapter VI Diseases of the nervous system	European	0.0085	1.8392	allelic	104	81	21	2	0.1202	0.221153846	0.019230769	454575	393915	58458	2202	0.0691	0.133443326	0.004844085	1.2108	2.7935
40002#Block G20-G26#G20-G26 Extrapyramidal and movement disorders	Chapter VI Diseases of the nervous system	European	0.0062	1.3657	allelic	504	414	87	3	0.0923	0.178571429	0.005952381	295209	255725	38070	1414	0.0693	0.13374931	0.004789827	1.1031	1.6908
40002#G20#Parkinson disease	Chapter VI Diseases of the nervous system	European	0.0016	1.442	allelic	471	383	85	3	0.0966	0.186836518	0.006369427	295038	255711	37916	1411	0.069	0.133294694	0.004782435	1.1614	1.7903
Union#G111#Early-onset cerebellar ataxia	Chapter VI Diseases of the nervous system	European	0.0094	2.6037	allelic	31	23	6	2	0.1613	0.258064516	0.064516129	298510	258860	38238	1412	0.0688	0.132826371	0.00473016	1.3233	5.1234
Union#G252#Other specified forms of tremor	Chapter VI Diseases of the nervous system	European	0.0065	1.8053	allelic	119	93	24	2	0.1176	0.218487395	0.016806723	298510	258860	38238	1412	0.0688	0.132826371	0.00473016	1.2168	2.6782
Union#G450#Vertebro-basilar artery syndrome	Chapter VI Diseases of the nervous system	European	0.00005599	2.7558	allelic	68	48	17	3	0.1691	0.294117647	0.044117647	298510	258860	38238	1412	0.0688	0.132826371	0.00473016	1.7599	4.3154
Union#G930#Cerebral cysts	Chapter VI Diseases of the nervous system	European	0.0067	1.4482	allelic	326	264	61	1	0.0966	0.190184049	0.003067485	298510	258860	38238	1412	0.0688	0.132826371	0.00473016	1.1166	1.8782
131139#Source of report of H05 (Disorders of orbit)	Chapter VII Diseases of the eye and adnexa	European	0.0081	0.788	allelic	1138	1016	118	4	0.0554	0.107205624	0.003514938	432913	375072	55749	2092	0.0692	0.133608831	0.00483238	0.6583	0.9433
131185#Source of report of H36 (Retinal disorders in diseases classified elsewhere)	Chapter VII Diseases of the eye and adnexa	European	0.0059	1.1206	allelic	4335	3693	621	21	0.0765	0.148096886	0.004844291	329402	285647	42178	1577	0.0688	0.132831616	0.004787463	1.0346	1.2136
Union#H05#Disorders of orbit	Chapter VII Diseases of the eye and adnexa	European	0.008	0.7875	allelic	1138	1016	118	4	0.0554	0.107205624	0.003514938	261053	226181	33580	1292	0.0693	0.13358207	0.004949187	0.6578	0.9428
Union#H360#Diabetic retinopathy	Chapter VII Diseases of the eye and adnexa	European	0.0058	1.1303	allelic	3734	3172	545	17	0.0775	0.150508838	0.004552758	211358	183149	27162	1047	0.0692	0.133465495	0.00495368	1.0376	1.2314
20002#1082#transient ischaemic attack (tia)	Chapter IX Diseases of the circulatory system	European	0.0096	0.8278	allelic	1684	1493	187	4	0.0579	0.113420428	0.002375297	361599	313386	46448	1765	0.0691	0.13333278	0.004881098	0.7162	0.9569
41202#I67#Other cerebrovascular diseases	Chapter IX Diseases of the circulatory system	European	0.0071	0.7555	allelic	873	781	91	1	0.0533	0.105383734	0.001145475	347447	300946	44841	1660	0.0693	0.13383624	0.004777707	0.613	0.9312
41202#I86#Varicose veins of other sites	Chapter IX Diseases of the circulatory system	European	0.0015	0.5937	allelic	411	377	33	1	0.0426	0.082725061	0.00243309	189753	164234	24593	926	0.0697	0.134485357	0.004880028	0.4231	0.8332
41202#I864#Gastric varices	Chapter IX Diseases of the circulatory system	European	0.006	0.2878	allelic	95	91	4	0	0.0211	0.042105263	0	225978	195655	29224	1099	0.0695	0.134185629	0.004863305	0.1069	0.775
Union#I342#Nonrheumatic mitral (valve) stenosis	Chapter IX Diseases of the circulatory system	European	0.0073	0.4334	allelic	143	134	9	0	0.0315	0.062937063	0	192795	166831	25040	924	0.0697	0.134671542	0.004792655	0.2231	0.842
Union#I729#Aneurysm and dissection of unspecified site	Chapter IX Diseases of the circulatory system	European	0.0068	2.0859	allelic	70	52	17	1	0.1357	0.257142857	0.014285714	134689	116469	17581	639	0.07	0.135274596	0.004744263	1.2857	3.3841
Union#I864#Gastric varices	Chapter IX Diseases of the circulatory system	European	0.0099	0.6046	allelic	298	273	24	1	0.0436	0.083892617	0.003355705	110796	95808	14431	557	0.0702	0.135275642	0.005027257	0.408	0.896
131457#Source of report of J18 (Pneumonia organism unspecified)	Chapter X Diseases of the respiratory system	European	0.0013	1.0498	allelic	36649	31555	4908	186	0.072	0.138994243	0.005075173	344473	298686	44138	1649	0.0689	0.132918981	0.004787022	1.0193	1.0812
40002#Block J20-J22#J20-J22 Other acute lower respiratory infections	Chapter X Diseases of the respiratory system	European	0.00006713	1.4978	allelic	605	492	105	8	0.1	0.18677686	0.01322314	339109	293905	43569	1635	0.0691	0.133302272	0.004821459	1.241	1.8076
40002#Block J40-J47#J40-J47 Chronic lower respiratory diseases	Chapter X Diseases of the respiratory system	European	0.0091	1.1399	allelic	2883	2446	424	13	0.078	0.151578217	0.004509192	317137	274834	40760	1543	0.0691	0.133390301	0.004865405	1.0348	1.2556
40002#Block J90-J94#J90-J94 Other diseases of pleura	Chapter X Diseases of the respiratory system	European	0.0034	0.3621	allelic	133	126	7	0	0.0263	0.052631579	0	317822	275231	41031	1560	0.0695	0.134008974	0.004908408	0.1709	0.7672
40002#J22#Unspecified acute lower respiratory infection	Chapter X Diseases of the respiratory system	European	0.00003877	1.5125	allelic	599	486	105	8	0.101	0.188647746	0.013355593	338550	293382	43518	1650	0.0691	0.133416039	0.004873726	1.2531	1.8256
40002#J44#Other chronic obstructive pulmonary disease	Chapter X Diseases of the respiratory system	European	0.0013	1.1923	allelic	2343	1975	355	13	0.0813	0.157063594	0.005548442	312683	271008	40138	1537	0.0691	0.13328195	0.004915521	1.0732	1.3246
40002#J449#Chronic obstructive pulmonary disease unspecified	Chapter X Diseases of the respiratory system	European	0.0014	1.193	allelic	2316	1951	352	13	0.0816	0.157599309	0.005613126	312147	270446	40125	1576	0.0693	0.133594108	0.005048903	1.0734	1.3259
41202#Block J85-J86#J85-J86 Suppurative and necrotic conditions of lower respiratory tract	Chapter X Diseases of the respiratory system	European	0.0099	1.3332	allelic	516	427	85	4	0.0901	0.17248062	0.007751938	269090	233184	34596	1310	0.0692	0.13343491	0.00486826	1.0771	1.6502
Union#J18#Pneumonia organism unspecified	Chapter X Diseases of the respiratory system	European	0.0027	1.0487	allelic	36708	31610	4912	186	0.072	0.138879808	0.005067015	174275	151127	22294	854	0.0689	0.132824559	0.004900301	1.0168	1.0816
131613#Source of report of K40 (Inguinal hernia)	Chapter XI Diseases of the digestive system	European	0.0032	0.9503	allelic	30887	26925	3819	143	0.0665	0.128274031	0.00462978	198875	172129	25776	970	0.0697	0.134486486	0.004877436	0.9186	0.9831
20002#1139#oesophagitis|barretts oesophagus	Chapter XI Diseases of the digestive system	European	0.0034	1.2273	allelic	1410	1182	219	9	0.084	0.161702128	0.006382979	365593	316523	47278	1792	0.0696	0.134220294	0.004901626	1.0741	1.4023
41202#K294#Chronic atrophic gastritis	Chapter XI Diseases of the digestive system	European	0.0063	0.6356	allelic	399	364	34	1	0.0451	0.087719298	0.002506266	253585	219739	32602	1244	0.0692	0.13347004	0.004905653	0.4549	0.8881
41202#K409#Unilateral or unspecified inguinal hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	0.0089	0.9466	allelic	21606	18842	2670	94	0.0661	0.127927428	0.004350643	120237	104120	15495	622	0.0696	0.134043597	0.005173116	0.9085	0.9863
41202#K521#Toxic gastroenteritis and colitis	Chapter XI Diseases of the digestive system	European	0.0026	1.3927	allelic	517	423	91	3	0.0938	0.181818182	0.005802708	253585	219739	32602	1244	0.0692	0.13347004	0.004905653	1.1297	1.717
Union#K294#Chronic atrophic gastritis	Chapter XI Diseases of the digestive system	European	0.006	0.7481	allelic	880	790	88	2	0.0523	0.102272727	0.002272727	165139	143250	21098	791	0.0687	0.132548944	0.004789904	0.6062	0.9232
Union#K521#Toxic gastroenteritis and colitis	Chapter XI Diseases of the digestive system	European	0.009	1.2488	allelic	937	782	152	3	0.0843	0.165421558	0.003201708	165139	143250	21098	791	0.0687	0.132548944	0.004789904	1.0604	1.4706
Union#K628#Other specified diseases of anus and rectum	Chapter XI Diseases of the digestive system	European	0.0011	1.1321	allelic	5191	4418	747	26	0.077	0.148911578	0.005008669	146160	126814	18640	706	0.0686	0.132361795	0.004830323	1.0518	1.2185
Union#K900#Coeliac disease	Chapter XI Diseases of the digestive system	European	0.0065	1.1085	allelic	5371	4589	754	28	0.0754	0.145596723	0.005213182	135340	117426	17278	636	0.0685	0.132362938	0.004699276	1.0303	1.1926
41202#L029#Cutaneous abscess furuncle and carbuncle unspecified	Chapter XII Diseases of the skin and subcutaneous tissue	European	0.0078	0.3051	allelic	90	86	4	0	0.0222	0.044444444	0	406945	352491	52489	1965	0.0693	0.133811694	0.004828662	0.1133	0.8221
41202#L05#Pilonidal cyst	Chapter XII Diseases of the skin and subcutaneous tissue	European	0.0017	0.6605	allelic	596	543	50	3	0.047	0.088926174	0.005033557	252221	218441	32526	1254	0.0695	0.133930164	0.00497183	0.505	0.8639
Union#L281#Prurigo nodularis	Chapter XII Diseases of the skin and subcutaneous tissue	European	0.0059	0.2898	allelic	95	91	4	0	0.0211	0.042105263	0	268582	232755	34546	1281	0.0691	0.133393154	0.004769493	0.1076	0.7803
131859#Source of report of M10 (Gout)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.008	1.0565	allelic	19035	16380	2540	115	0.0728	0.139479905	0.006041502	232211	201222	29868	1121	0.0691	0.133451904	0.004827506	1.0148	1.0999
131923#Source of report of M50 (Cervical disc disorders)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.01	1.1062	allelic	4775	4073	679	23	0.0759	0.147015707	0.004816754	432413	374727	55587	2099	0.0691	0.13340487	0.004854156	1.0251	1.1938
41202#M21#Other acquired deformities of limbs	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0029	1.2523	allelic	1206	1006	195	5	0.085	0.165837479	0.004145937	280440	243053	36045	1342	0.0691	0.133315504	0.004785337	1.0849	1.4455
41202#M2117#Varus deformity not elsewhere classified Ankle and foot	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0074	2.0461	allelic	72	54	17	1	0.1319	0.25	0.013888889	320468	277686	41242	1540	0.0692	0.133498508	0.004805472	1.2626	3.3156
41202#M212#Flexion deformity	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0083	1.5836	allelic	190	151	38	1	0.1053	0.205263158	0.005263158	320468	277686	41242	1540	0.0692	0.133498508	0.004805472	1.1411	2.1979
41202#M705#Other bursitis of knee	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0096	0.4423	allelic	142	133	9	0	0.0317	0.063380282	0	216847	188002	27808	1037	0.0689	0.133020056	0.004782174	0.2277	0.8592
41202#M72#Fibroblastic disorders	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0038	1.1041	allelic	6392	5455	902	35	0.076	0.146589487	0.005475594	206687	179020	26662	1005	0.0694	0.133859411	0.004862425	1.0331	1.18
41202#M720#Palmar fascial fibromatosis [Dupuytren]	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.006	1.1037	allelic	5863	5009	820	34	0.0757	0.145659219	0.005799079	199404	172805	25638	961	0.0691	0.13339251	0.004819362	1.0296	1.1831
41202#M7204#Palmar fascial fibromatosis [Dupuytren]-Hand	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0034	1.1988	allelic	1842	1555	272	15	0.082	0.155808903	0.008143322	189180	163875	24380	925	0.0693	0.133761497	0.004889523	1.0649	1.3494
Union#M10#Gout	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0081	1.0598	allelic	19070	16411	2544	115	0.0727	0.139433665	0.006030414	90162	78154	11590	418	0.0689	0.133182494	0.004636099	1.0155	1.1061
Union#M109#Gout unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0053	1.0634	allelic	18571	15984	2477	110	0.0726	0.139303215	0.005923214	96328	83559	12325	444	0.0686	0.132557512	0.004609252	1.0186	1.1101
Union#M212#Flexion deformity	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0011	1.4001	allelic	597	486	110	1	0.0938	0.185929648	0.001675042	157465	136515	20219	731	0.0688	0.133045439	0.004642301	1.152	1.7016
Union#M2125#Flexion deformity Pelvic region and thigh	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0021	2.4204	allelic	56	39	17	0	0.1518	0.303571429	0	157465	136515	20219	731	0.0688	0.133045439	0.004642301	1.4442	4.0563
Union#M2137#Wrist or foot drop (acquired) Ankle and foot	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0009188	0.6768	allelic	735	666	68	1	0.0476	0.093877551	0.001360544	136223	118100	17504	619	0.0688	0.133039208	0.00454402	0.5321	0.8609
Union#M224#Chondromalacia patellae	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0066	0.6946	allelic	563	508	55	0	0.0488	0.097690941	0	157465	136515	20219	731	0.0688	0.133045439	0.004642301	0.5295	0.9111
Union#M434#Other recurrent atlantoaxial subluxation	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0033	0.4018	allelic	156	147	9	0	0.0288	0.057692308	0	157465	136515	20219	731	0.0688	0.133045439	0.004642301	0.207	0.7797
Union#M50#Cervical disc disorders	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0082	1.1112	allelic	4775	4073	679	23	0.0759	0.147015707	0.004816754	157465	136515	20219	731	0.0688	0.133045439	0.004642301	1.0289	1.2001
Union#M720#Palmar fascial fibromatosis [Dupuytren]	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0012	1.1195	allelic	6356	5420	896	40	0.0768	0.147262429	0.006293266	102000	88368	13158	474	0.0691	0.133647059	0.004647059	1.0465	1.1977
Union#M7204#Palmar fascial fibromatosis [Dupuytren]-Hand	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0017	1.2114	allelic	1903	1606	281	16	0.0822	0.156069364	0.008407777	96261	83452	12358	451	0.0689	0.133065312	0.004685179	1.0777	1.3617
Union#M7988#Other specified soft tissue disorders Other	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0025	0.3573	allelic	136	129	7	0	0.0257	0.051470588	0	157465	136515	20219	731	0.0688	0.133045439	0.004642301	0.1687	0.7569
Union#M819#Osteoporosis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	0.0096	1.0588	allelic	18408	15826	2488	94	0.0727	0.140265102	0.005106475	97923	84885	12577	461	0.0689	0.133145431	0.004707781	1.0142	1.1054
132033#Source of report of N18 (Chronic kidney disease)	Chapter XIV Diseases of the genitourinary system	European	0.0014	1.0559	allelic	27796	23932	3691	173	0.0726	0.139012808	0.006223917	394789	342163	50739	1887	0.069	0.133301586	0.004779768	1.0214	1.0915
41202#N130#Hydronephrosis with ureteropelvic junction obstruction	Chapter XIV Diseases of the genitourinary system	European	0.0004023	0.4429	allelic	252	236	16	0	0.0317	0.063492063	0	341930	296437	43854	1639	0.0689	0.1330477	0.004793379	0.2692	0.7289
Union#Block N17-N19#N17-N19 Renal failure	Chapter XIV Diseases of the genitourinary system	European	0.0007781	1.0526	allelic	38330	33010	5110	210	0.0721	0.138794678	0.005478737	219726	190554	28119	1053	0.0688	0.132765353	0.004792332	1.0218	1.0844
Union#Chapter XIV#Chapter XIV Diseases of the genitourinary system	Chapter XIV Diseases of the genitourinary system	European	0.0046	1.0279	allelic	165725	143337	21569	819	0.07	0.135091266	0.004941922	163637	142076	20787	774	0.0682	0.131761154	0.004729982	1.0085	1.0477
Union#N085#Glomerular disorders in systemic connective tissue disorders	Chapter XIV Diseases of the genitourinary system	European	0.0098	1.6419	allelic	157	123	34	0	0.1083	0.21656051	0	186142	161395	23857	890	0.0689	0.13294689	0.004781296	1.1499	2.3444
Union#N18#Chronic kidney disease	Chapter XIV Diseases of the genitourinary system	European	0.0012	1.0588	allelic	27892	24013	3705	174	0.0727	0.139072135	0.006238348	195559	169561	25048	950	0.0689	0.132941977	0.004857869	1.0231	1.0957
